category,title,price,original_price,sale_price,discount,availability,variant,product_id,product_url,image_url,brand
men,V Neck Sweater,"Rs. 7,499","Rs. 7,499","Rs. 7,499","Pay 2,875 now (BaadMay)",Available,mos0100,9.18496E+12,https://beoneshopone.com/collections/men-new-arrivals-all/products/mos0100,https://beoneshopone.com/cdn/shop/files/MOS0100-BLK5.jpg?v=1760075867&width=1080,One
men,Stripe Sweater,"Rs. 6,999","Rs. 6,999","Rs. 6,999","Pay 2,683 now (BaadMay)",Available,mos0099,9.18496E+12,https://beoneshopone.com/collections/men-new-arrivals-all/products/mos0099,https://beoneshopone.com/cdn/shop/files/MOS0099-BKW5.jpg?v=1760075714&width=1080,One
men,High Neck Sweater,"Rs. 6,790","Rs. 6,790","Rs. 6,790","Pay 2,603 now (BaadMay)",Available,mos0098,9.18496E+12,https://beoneshopone.com/collections/men-new-arrivals-all/products/mos0098,https://beoneshopone.com/cdn/shop/files/MOS0098-BLU2.jpg?v=1760075697&width=1080,One
men,Raglan Sweater,"Rs. 6,790","Rs. 6,790","Rs. 6,790","Pay 2,603 now (BaadMay)",Available,mos0096,9.18496E+12,https://beoneshopone.com/collections/men-new-arrivals-all/products/mos0096,https://beoneshopone.com/cdn/shop/files/MOS0096-DKO6.jpg?v=1760075655&width=1080,One
men,Two-Tone Sweater,"Rs. 6,790","Rs. 6,790","Rs. 6,790","Pay 2,603 now (BaadMay)",Available,mos0095,9.18496E+12,https://beoneshopone.com/collections/men-new-arrivals-all/products/mos0095,https://beoneshopone.com/cdn/shop/files/MOS0095-BNY1.jpg?v=1760075618&width=1080,One
men,Double Breast Blazer,"Rs. 15,490","Rs. 15,490","Rs. 15,490","Pay 5,938 now (BaadMay)",Available,moc0021,9.18496E+12,https://beoneshopone.com/collections/men-new-arrivals-all/products/moc0021,https://beoneshopone.com/cdn/shop/files/MOC0021-NVY5.jpg?v=1760074443&width=1080,One
men,Crew Neck Sweater,"Rs. 6,999","Rs. 6,999","Rs. 6,999","Pay 2,683 now (BaadMay)",Available,mos0097,9.18461E+12,https://beoneshopone.com/collections/men-new-arrivals-all/products/mos0097,https://beoneshopone.com/cdn/shop/files/MOS0097-WHT5.jpg?v=1760075676&width=1080,One
men,Printed Pullover Hoodie,"Rs. 6,999","Rs. 6,999","Rs. 6,999","Pay 2,683 now (BaadMay)",Available,moh0209,9.18461E+12,https://beoneshopone.com/collections/men-new-arrivals-all/products/moh0209,https://beoneshopone.com/cdn/shop/files/MOH0209-BGY6.jpg?v=1760075328&width=1080,One
men,Single Breast Long Coat,"Rs. 19,999","Rs. 19,999","Rs. 19,999","Pay 7,666 now (BaadMay)",Available,moc0017,9.18461E+12,https://beoneshopone.com/collections/men-new-arrivals-all/products/moc0017,https://beoneshopone.com/cdn/shop/files/MOC0017-GRY6.jpg?v=1760074404&width=1080,One
men,Comfort Flannel Shirt,"Rs. 4,999","Rs. 4,999","Rs. 4,999","Pay 1,916 now (BaadMay)",Available,mts0363,9.18319E+12,https://beoneshopone.com/collections/men-new-arrivals-all/products/mts0363,https://beoneshopone.com/cdn/shop/files/MTS0363-BLU9.jpg?v=1759838684&width=1080,One
men,Denim Slim Shirt,"Rs. 4,999","Rs. 4,999","Rs. 4,999","Pay 1,916 now (BaadMay)",Available,mts0353,9.18319E+12,https://beoneshopone.com/collections/men-new-arrivals-all/products/mts0353,https://beoneshopone.com/cdn/shop/files/MTS0353-BLU1.jpg?v=1759839438&width=1080,One
men,Printed Sweatshirt,"Rs. 4,499","Rs. 4,499","Rs. 4,499","Pay 1,725 now (BaadMay)",Available,mot0141,9.18319E+12,https://beoneshopone.com/collections/men-new-arrivals-all/products/mot0141,https://beoneshopone.com/cdn/shop/files/MOT0141-BGY6.jpg?v=1759838647&width=1080,One
men,Graphic Sweatshirt,"Rs. 4,990","Rs. 4,990","Rs. 4,990","Pay 1,913 now (BaadMay)",Available,mot0137,9.18319E+12,https://beoneshopone.com/collections/men-new-arrivals-all/products/mot0137,https://beoneshopone.com/cdn/shop/files/MOT0137-BLK11.jpg?v=1759838611&width=1080,One
men,Basic Sweatshirt,"Rs. 3,990","Rs. 3,990","Rs. 3,990","Pay 1,530 now (BaadMay)",Available,mot0131,9.18319E+12,https://beoneshopone.com/collections/men-new-arrivals-all/products/mot0131,https://beoneshopone.com/cdn/shop/files/MOT0131-DGR6.jpg?v=1759838136&width=1080,One
men,Drop Shuolder Baggy Hoodie,"Rs. 5,990","Rs. 5,990","Rs. 5,990","Pay 2,296 now (BaadMay)",Available,moh0234,9.18319E+12,https://beoneshopone.com/collections/men-new-arrivals-all/products/moh0234,https://beoneshopone.com/cdn/shop/files/MOH0234-BGE10.jpg?v=1759838108&width=1080,One
men,Baggy Zipper Hoodie,"Rs. 6,999","Rs. 6,999","Rs. 6,999","Pay 2,683 now (BaadMay)",Available,moh0221,9.18319E+12,https://beoneshopone.com/collections/men-new-arrivals-all/products/moh0221,https://beoneshopone.com/cdn/shop/files/MOH0221-NVY6.jpg?v=1759838072&width=1080,One
men,Drop Shuolder Baggy Hoodie,"Rs. 6,490","Rs. 6,490","Rs. 6,490","Pay 2,488 now (BaadMay)",Available,moh0204,9.18319E+12,https://beoneshopone.com/collections/men-new-arrivals-all/products/moh0204,https://beoneshopone.com/cdn/shop/files/MOH0204-BLK16.jpg?v=1759838039&width=1080,One
men,Graphic Pullover Hoodie,"Rs. 5,490","Rs. 5,490","Rs. 5,490","Pay 2,105 now (BaadMay)",Available,moh0203,9.18319E+12,https://beoneshopone.com/collections/men-new-arrivals-all/products/moh0203,https://beoneshopone.com/cdn/shop/files/MOH0203-BGE9.jpg?v=1759837896&width=1080,One
men,Comfort Graphic Hoodie,"Rs. 6,490","Rs. 6,490","Rs. 6,490","Pay 2,488 now (BaadMay)",Available,moh0198,9.18319E+12,https://beoneshopone.com/collections/men-new-arrivals-all/products/moh0198,https://beoneshopone.com/cdn/shop/files/MOH0198-BLK9.jpg?v=1759837870&width=1080,One
men,Regular Gym Jacket,"Rs. 6,999","Rs. 6,999","Rs. 6,999","Pay 2,683 now (BaadMay)",Available,mgj0009,9.18319E+12,https://beoneshopone.com/collections/men-new-arrivals-all/products/mgj0009,https://beoneshopone.com/cdn/shop/files/MGJ0009-GRY6.jpg?v=1759837830&width=1080,One
men,Regular Gym Track Pants,"Rs. 4,499","Rs. 4,499","Rs. 4,499","Pay 1,725 now (BaadMay)",Available,mgb0093,9.18319E+12,https://beoneshopone.com/collections/men-new-arrivals-all/products/mgb0093,https://beoneshopone.com/cdn/shop/files/MGB0093-BLK1.jpg?v=1759837811&width=1080,One
men,Cargo Track Pants,"Rs. 5,499","Rs. 5,499","Rs. 5,499","Pay 2,108 now (BaadMay)",Available,mbt0307,9.18319E+12,https://beoneshopone.com/collections/men-new-arrivals-all/products/mbt0307,https://beoneshopone.com/cdn/shop/files/MBT0307-KHK2.jpg?v=1759837756&width=1080,One
