category,title,price,original_price,sale_price,discount,variant,product_url,image_url,brand
men,Muslin Shorts,"Rs.2,249","Rs.4,499","Rs.2,249",-50%,,https://www.cougar.com.pk/products/muslin-shorts-ms2542,https://www.cougar.com.pk/cdn/shop/files/5_e84a8d01-63a7-4921-9941-3c5d40a06d95.webp?v=1756489704&width=533,Cougar
men,Textured Shorts,"Rs.2,249","Rs.4,499","Rs.2,249",-50%,,https://www.cougar.com.pk/products/textured-shorts-ms2543,https://www.cougar.com.pk/cdn/shop/files/2_2ced19c3-d285-43be-b3d1-99ec68ec0dd5.webp?v=1756489702&width=533,Cougar
men,Activewear Trousers,"Rs.2,499","Rs.4,999","Rs.2,499",-50%,,https://www.cougar.com.pk/products/activewear-trousers-mtaw10,https://www.cougar.com.pk/cdn/shop/files/1_0b3cd848-82f2-44b2-89b4-3ae0fe317771.webp?v=1756489698&width=533,Cougar
men,All Over Printed Polo,"Rs.1,749","Rs.3,499","Rs.1,749",-50%,,https://www.cougar.com.pk/products/all-over-printed-polo-pe2525,https://www.cougar.com.pk/cdn/shop/files/1_5a06fe7a-d905-4322-8486-85533c712a49.webp?v=1756489693&width=533,Cougar
men,All Over Printed Polo,"Rs.1,749","Rs.3,499","Rs.1,749",-50%,,https://www.cougar.com.pk/products/all-over-printed-polo-pe2526,https://www.cougar.com.pk/cdn/shop/files/1_6106c949-8b64-4df1-8211-b5ce42acfb75.webp?v=1756489690&width=533,Cougar
men,Raglan Striper Polo,"Rs.1,749","Rs.3,499","Rs.1,749",-50%,,https://www.cougar.com.pk/products/raglan-striper-polo-pe2575,https://www.cougar.com.pk/cdn/shop/files/1_fe7e9e6b-8ef8-4876-8130-f82955900c19.webp?v=1756489679&width=533,Cougar
men,Raglan Striper Polo,"Rs.1,749","Rs.3,499","Rs.1,749",-50%,,https://www.cougar.com.pk/products/raglan-striper-polo-pe2576,https://www.cougar.com.pk/cdn/shop/files/1_0c52f61b-4395-43e0-a23a-9b1e12e03ece.webp?v=1756489677&width=533,Cougar
men,All Over Printed Polo,"Rs.1,749","Rs.3,499","Rs.1,749",-50%,,https://www.cougar.com.pk/products/all-over-printed-polo-pe2578,https://www.cougar.com.pk/cdn/shop/files/5_a65fa611-ca95-466d-91ea-2e26a28d0319.webp?v=1756489672&width=533,Cougar
men,Pique Printed Polo,"Rs.1,749","Rs.3,499","Rs.1,749",-50%,,https://www.cougar.com.pk/products/pique-printed-polo-pe2580,https://www.cougar.com.pk/cdn/shop/files/1_fdf7cc22-9340-4f72-8d0e-cc5d954f45f3.webp?v=1756489668&width=533,Cougar
men,Tipped Polo,"Rs.1,499","Rs.2,999","Rs.1,499",-50%,,https://www.cougar.com.pk/products/tipped-polo-pe2582,https://www.cougar.com.pk/cdn/shop/files/5_26b0da4e-eb3c-4539-a106-6a6f8cf42255.webp?v=1756489662&width=533,Cougar
men,Johnny Collar Polo,"Rs.1,849","Rs.3,699","Rs.1,849",Sold out,,https://www.cougar.com.pk/products/johnny-collar-polo-ple553,https://www.cougar.com.pk/cdn/shop/files/2_deea6fac-bdc9-4157-b48d-9e8014170bdc.webp?v=1756489658&width=533,Cougar
men,Accent Collar Polo,"Rs.1,649","Rs.3,299","Rs.1,649",-50%,,https://www.cougar.com.pk/products/accent-collar-polo-ple558,https://www.cougar.com.pk/cdn/shop/files/2_febb7eda-d394-4adc-aa36-9f4be1f56b3b.webp?v=1756489645&width=533,Cougar
men,Relaxed Crew Neck,"Rs.1,499","Rs.2,999","Rs.1,499",-50%,,https://www.cougar.com.pk/products/relaxed-crew-neck-rte502,https://www.cougar.com.pk/cdn/shop/files/1_d296cfab-f542-469f-a1c3-80703363f9c7.webp?v=1756489641&width=533,Cougar
men,Relaxed Crew Neck,"Rs.1,499","Rs.2,999","Rs.1,499",-50%,,https://www.cougar.com.pk/products/relaxed-crew-neck-rte503,https://www.cougar.com.pk/cdn/shop/files/1_f3b3fc67-ab2e-4859-a7f9-9cef19628701.webp?v=1756489638&width=533,Cougar
men,Interlock T-Shirt,"Rs.1,349","Rs.2,699","Rs.1,349",-50%,,https://www.cougar.com.pk/products/interlock-t-shirt-rte504,https://www.cougar.com.pk/cdn/shop/files/1_b0c94809-d4c5-4d52-b28a-e5740c6619d8.webp?v=1756548736&width=533,Cougar
men,Ottoman Relaxed T-Shirt,"Rs.1,499","Rs.2,999","Rs.1,499",-50%,,https://www.cougar.com.pk/products/ottoman-relaxed-t-shirt-rte505,https://www.cougar.com.pk/cdn/shop/files/1_e321fbe5-1631-4eb5-b9e2-6b7910ec7998.webp?v=1756548728&width=533,Cougar
men,Mini Ottoman Knit T-Shirt,"Rs.1,499","Rs.2,999","Rs.1,499",-50%,,https://www.cougar.com.pk/products/mini-ottoman-knit-t-shirt-rte506,https://www.cougar.com.pk/cdn/shop/files/1_72b76168-0d16-438e-b82e-7d187f8ab948.webp?v=1756489630&width=533,Cougar
men,Interlock T-Shirt,"Rs.1,349","Rs.2,699","Rs.1,349",-50%,,https://www.cougar.com.pk/products/interlock-t-shirt-rte507,https://www.cougar.com.pk/cdn/shop/files/5_6ecb0f71-012a-44bb-9221-336e95dd8be3.webp?v=1756489628&width=533,Cougar
men,Interlock T-Shirt,"Rs.1,349","Rs.2,699","Rs.1,349",-50%,,https://www.cougar.com.pk/products/interlock-t-shirt-rte508,https://www.cougar.com.pk/cdn/shop/files/1_1b4d8b51-d2d4-42bc-8d78-c3e30bf4f8b4.webp?v=1756548708&width=533,Cougar
men,Text Printed T-Shirt,"Rs.1,649","Rs.3,299","Rs.1,649",-50%,,https://www.cougar.com.pk/products/text-printed-t-shirt-rte509,https://www.cougar.com.pk/cdn/shop/files/1_9d1b7ae2-ae00-45ae-825f-1ef6d203ec65.webp?v=1756489623&width=533,Cougar
men,Graphic T-Shirt,"Rs.1,499","Rs.2,999","Rs.1,499",-50%,,https://www.cougar.com.pk/products/graphic-t-shirt-rte511,https://www.cougar.com.pk/cdn/shop/files/1_9d250e70-76d2-4fc3-81c0-d5dce97e4bb5.webp?v=1756489618&width=533,Cougar
men,Interlock T-Shirt,"Rs.1,349","Rs.2,699","Rs.1,349",-50%,,https://www.cougar.com.pk/products/interlock-t-shirt-rte512,https://www.cougar.com.pk/cdn/shop/files/1_50752092-4265-4533-bd58-7e20ce124cee.webp?v=1756489615&width=533,Cougar
men,Back Printed T-Shirt,"Rs.1,499","Rs.2,999","Rs.1,499",-50%,,https://www.cougar.com.pk/products/back-printed-t-shirt-rte515,https://www.cougar.com.pk/cdn/shop/files/1_e0058f27-60d4-4887-a116-d7f21abbe73b.webp?v=1756489608&width=533,Cougar
men,Interlock T-Shirt,"Rs.1,349","Rs.2,699","Rs.1,349",-50%,,https://www.cougar.com.pk/products/interlock-t-shirt-rte516,https://www.cougar.com.pk/cdn/shop/files/1_ace8ce4e-1e66-44bc-b06e-7cee5b66b9dc.webp?v=1756489606&width=533,Cougar
men,Raised Text T-Shirt,"Rs.1,499","Rs.2,999","Rs.1,499",-50%,,https://www.cougar.com.pk/products/raised-text-t-shirt-rte517,https://www.cougar.com.pk/cdn/shop/files/1_e098f4f3-dada-4d0f-a8be-eff0491a3e65.webp?v=1756489603&width=533,Cougar
