product_id,title,brand,category,product_url,image_url,price_clean,original_price_clean,sale_price_clean,discount_clean,is_discounted,price_tier,savings,savings_percentage,discount_level,product_type,primary_color,material_type,fit_type,size_variant,style_type,title_length,has_image,availability
henley-t-shirt-he2504,Henley T-Shirt,Cougar,men,https://www.cougar.com.pk/products/henley-t-shirt-he2504,https://www.cougar.com.pk/cdn/shop/files/1_e636b53f-ee7f-46eb-8a00-60d6286d9bcd.webp?v=1756489764&width=533,1249.0,2499.0,1249.0,0.5,True,Budget (<1.5k),1250.0,50.020008003201276,50% Off,Shirts,Multi-color,Mixed,Regular,Not Specified,Henley,14,True,In Stock
henley-t-shirt-he2505,Henley T-Shirt,Cougar,men,https://www.cougar.com.pk/products/henley-t-shirt-he2505,https://www.cougar.com.pk/cdn/shop/files/5_08d6383b-d3a1-49bb-9184-39a6835b06f2.webp?v=1756489761&width=533,1249.0,2499.0,1249.0,0.5,True,Budget (<1.5k),1250.0,50.020008003201276,50% Off,Shirts,Multi-color,Mixed,Regular,Not Specified,Henley,14,True,In Stock
relaxed-fit-knit-shorts-ms2536,Relaxed Fit Knit Shorts,Cougar,men,https://www.cougar.com.pk/products/relaxed-fit-knit-shorts-ms2536,https://www.cougar.com.pk/cdn/shop/files/1_7d4fc043-d846-44f5-a058-ac2229714406.webp?v=1756489717&width=533,1749.0,3499.0,1749.0,0.5,True,Economy (1.5k-2.5k),1750.0,50.01428979708488,50% Off,Shorts,Multi-color,Knit,Relaxed,Not Specified,Basic,23,True,In Stock
relaxed-fit-denim-shorts-ms2537,Relaxed Fit Denim Shorts,Cougar,men,https://www.cougar.com.pk/products/relaxed-fit-denim-shorts-ms2537,https://www.cougar.com.pk/cdn/shop/files/2_6e231cd3-c28a-4d6c-8a23-c77e90d0ee77.webp?v=1756489714&width=533,2249.0,4499.0,2249.0,0.5,True,Economy (1.5k-2.5k),2250.0,50.01111358079573,50% Off,Shorts,Multi-color,Denim,Relaxed,Not Specified,Basic,24,True,In Stock
denim-shorts-ms2538,Denim Shorts,Cougar,men,https://www.cougar.com.pk/products/denim-shorts-ms2538,https://www.cougar.com.pk/cdn/shop/files/2_00bc7b67-5acf-4ff0-8e59-f49b5635c0ce.webp?v=1756489712&width=533,1999.0,3999.0,1999.0,0.5,True,Economy (1.5k-2.5k),2000.0,50.01250312578145,50% Off,Shorts,Multi-color,Denim,Regular,Not Specified,Basic,12,True,In Stock
activewear-shorts-ms2539,Activewear Shorts,Cougar,men,https://www.cougar.com.pk/products/activewear-shorts-ms2539,https://www.cougar.com.pk/cdn/shop/files/6_6e3d9df3-80c2-4cc3-9dd8-bb8d85b0d4f8.webp?v=1756489710&width=533,1849.0,3699.0,1849.0,0.5,True,Economy (1.5k-2.5k),1850.0,50.01351716680183,50% Off,Shorts,Multi-color,Activewear,Regular,Not Specified,Basic,17,True,In Stock
textured-shorts-ms2540,Textured Shorts,Cougar,men,https://www.cougar.com.pk/products/textured-shorts-ms2540,https://www.cougar.com.pk/cdn/shop/files/1_50bd1a9c-4054-44d2-a213-00f01bb530c8.webp?v=1756489708&width=533,2249.0,4499.0,2249.0,0.5,True,Economy (1.5k-2.5k),2250.0,50.01111358079573,50% Off,Shorts,Red,Textured,Regular,Not Specified,Basic,15,True,In Stock
muslin-shorts-ms2541,Muslin Shorts,Cougar,men,https://www.cougar.com.pk/products/muslin-shorts-ms2541,https://www.cougar.com.pk/cdn/shop/files/6_300bfb70-5fc3-44f2-a9bf-78c4f6920db9.webp?v=1756489706&width=533,2249.0,4499.0,2249.0,0.5,True,Economy (1.5k-2.5k),2250.0,50.01111358079573,50% Off,Shorts,Multi-color,Muslin,Regular,Not Specified,Basic,13,True,In Stock
muslin-shorts-ms2542,Muslin Shorts,Cougar,men,https://www.cougar.com.pk/products/muslin-shorts-ms2542,https://www.cougar.com.pk/cdn/shop/files/5_e84a8d01-63a7-4921-9941-3c5d40a06d95.webp?v=1756489704&width=533,2249.0,4499.0,2249.0,0.5,True,Economy (1.5k-2.5k),2250.0,50.01111358079573,50% Off,Shorts,Multi-color,Muslin,Regular,Not Specified,Basic,13,True,In Stock
textured-shorts-ms2543,Textured Shorts,Cougar,men,https://www.cougar.com.pk/products/textured-shorts-ms2543,https://www.cougar.com.pk/cdn/shop/files/2_2ced19c3-d285-43be-b3d1-99ec68ec0dd5.webp?v=1756489702&width=533,2249.0,4499.0,2249.0,0.5,True,Economy (1.5k-2.5k),2250.0,50.01111358079573,50% Off,Shorts,Red,Textured,Regular,Not Specified,Basic,15,True,In Stock
